date,BTC
2018-01-31,10285.1
2018-02-28,10326.76
2018-03-31,6923.91
2018-04-30,9246.01
2018-05-31,7485.01
2018-06-30,6390.07
2018-07-31,7730.93
2018-08-31,7011.21
2018-09-30,6626.57
2018-10-31,6371.93
2018-11-30,4041.32
2018-12-31,3702.9
2019-01-31,3434.1
2019-02-28,3813.69
2019-03-31,4103.95
2019-04-30,5320.81
2019-05-31,8555.0
2019-06-30,10854.1
2019-07-31,10080.53
2019-08-31,9587.47
2019-09-30,8289.34
2019-10-31,9140.85
2019-11-30,7541.89
2019-12-31,7195.23
2020-01-31,9352.89
2020-02-29,8523.61
2020-03-31,6410.44
2020-04-30,8620.0
2020-05-31,9448.27
2020-06-30,9138.55
2020-07-31,11335.46
2020-08-31,11649.51
2020-09-30,10776.59
2020-10-31,13791.0
2020-11-30,19695.87
2020-12-31,28923.63
2021-01-31,33092.98
2021-02-28,45135.66
2021-03-31,58740.55
2021-04-30,57694.27
2021-05-31,37253.81
2021-06-30,35045.0
2021-07-31,41461.83
2021-08-31,47100.89
2021-09-30,43824.1
2021-10-31,61299.8
2021-11-30,56950.56
2021-12-31,46216.93
2022-01-31,38466.9
2022-02-28,43160.0
2022-03-31,45510.34
2022-04-30,37630.8
2022-05-31,31801.04
2022-06-30,19942.21
2022-07-31,23293.32
2022-08-31,20050.02
2022-09-30,19422.61
2022-10-31,20490.74
2022-11-30,17163.64
2022-12-31,16542.4
2023-01-31,23125.13
2023-02-28,23141.57
2023-03-31,28465.36
2023-04-30,29233.21
2023-05-31,27210.35
2023-06-30,30472.0
2023-07-31,29232.25
2023-08-31,25940.78
2023-09-30,26962.56
2023-10-31,34639.77
2023-11-30,37723.96
2023-12-31,42283.58
2024-01-31,42580.0
2024-02-29,61130.98
2024-03-31,71280.01
2024-04-30,60672.0
2024-05-31,67540.01
2024-06-30,62772.01
2024-07-31,64628.0
2024-08-31,58973.99
2024-09-30,63327.59
2024-10-31,70292.01
2024-11-30,96407.99
2024-12-31,93576.0
2025-01-31,102429.56
2025-02-28,84349.94
2025-03-31,82550.01
2025-04-30,94172.0
2025-05-31,104591.88
2025-06-30,107146.5
2025-07-31,115764.08
2025-08-31,108246.35
2025-09-30,114048.93
2025-10-31,109608.01
2025-11-30,90360.0
2025-12-31,87648.22
2026-01-31,78741.09
2026-02-28,66973.26
2026-03-31,74277.79
